Sample.Time,Time,Sample,Colony,Community,Treatment,Repli,C.SH,D.SH,tot.SH,logTot.SH,logC.SH,logD.SH,D.Prp,ID
T2_S1-20,T2,S1-20,S1,DC,CO2,R2,8.40E-006,3.19E-005,4.04E-005,-4.3941,-5.0756,-4.4956,0.7918,T2_S1-20.P44_Ssid_T2_CO2_R1-2.csv
T2_S1-3,T2,S1-3,S1,C,CO2,R2,3.16E-005,9.49E-007,3.25E-005,-4.4877,-4.5006,-6.0226,0.0292,T2_S1-3.P44_Ssid_T2_CO2_R1-2.csv
T2_S2-27,T2,S2-27,S2,D,CO2,R2,0.00E+000,3.01E-004,3.01E-004,-3.5218,NA,-3.5218,1.0000,T2_S2-27.P44_Ssid_T2_CO2_R1-2.csv
T2_S2-5,T2,S2-5,S2,D,CO2,R2,0.00E+000,3.06E-004,3.06E-004,-3.5146,NA,-3.5146,1.0000,T2_S2-5.P44_Ssid_T2_CO2_R1-2.csv
T2_S3-15,T2,S3-15,S3,DC,CO2,R2,4.71E-005,1.46E-004,1.93E-004,-3.7149,-4.3266,-3.8367,0.7555,T2_S3-15.P44_Ssid_T2_CO2_R1-2.csv
T2_S3-24,T2,S3-24,S3,DC,CO2,R2,4.65E-005,1.97E-004,2.43E-004,-3.6138,-4.3324,-3.7059,0.8088,T2_S3-24.P44_Ssid_T2_CO2_R1-2.csv
T2_S4-20,T2,S4-20,S4,DC,CO2,R2,9.29E-005,6.11E-004,7.04E-004,-3.1523,-4.0318,-3.2138,0.8680,T2_S4-20.P44_Ssid_T2_CO2_R1-2.csv
T2_S4-6,T2,S4-6,S4,DC,CO2,R2,2.97E-004,6.03E-005,3.57E-004,-3.4470,-3.5273,-4.2197,0.1688,T2_S4-6.P44_Ssid_T2_CO2_R1-2.csv
T2_S5-16,T2,S5-16,S5,D,CO2,R2,1.53E-006,3.13E-004,3.14E-004,-3.5029,-5.8147,-3.5050,0.9951,T2_S5-16.P47_Ssid_T0_CO2_R2.csv
T2_S5-26,T2,S5-26,S5,D,CO2,R2,1.74E-007,1.50E-004,1.50E-004,-3.8243,-6.7586,-3.8248,0.9988,T2_S5-26.P47_Ssid_T0_CO2_R2.csv
T2_S1-19,T2,S1-19,S1,D,D,R1,1.95E-006,2.31E-004,2.33E-004,-3.6334,-5.7108,-3.6371,0.9916,T2_S1-19.P42_Ssid_T2_D_R1-2.csv
T2_S1-4,T2,S1-4,S1,DC,D,R1,5.08E-005,6.35E-005,1.14E-004,-3.9422,-4.2944,-4.1975,0.5555,T2_S1-4.P42_Ssid_T2_D_R1-2.csv
T2_S2-20,T2,S2-20,S2,D,D,R1,0.00E+000,5.57E-004,5.57E-004,-3.2542,NA,-3.2542,1.0000,T2_S2-20.P42_Ssid_T2_D_R1-2.csv
T2_S2-29,T2,S2-29,S2,D,D,R1,0.00E+000,2.59E-002,2.59E-002,-1.5869,NA,-1.5869,1.0000,T2_S2-29.P42_Ssid_T2_D_R1-2.csv
T2_S3-19,T2,S3-19,S3,DC,D,R1,1.56E-004,1.27E-003,1.43E-003,-2.8447,-3.8067,-2.8949,0.8908,T2_S3-19.P42_Ssid_T2_D_R1-2.csv
T2_S3-3,T2,S3-3,S3,DC,D,R1,2.66E-004,1.32E-003,1.58E-003,-2.8004,-3.5756,-2.8802,0.8322,T2_S3-3.P42_Ssid_T2_D_R1-2.csv
T2_S4-21,T2,S4-21,S4,D,D,R1,6.47E-005,1.17E-003,1.23E-003,-2.9100,-4.1894,-2.9334,0.9475,T2_S4-21.P42_Ssid_T2_D_R1-2.csv
T2_S4-30,T2,S4-30,S4,D,D,R1,2.27E-005,8.31E-004,8.53E-004,-3.0689,-4.6442,-3.0806,0.9734,T2_S4-30.P42_Ssid_T2_D_R1-2.csv
