Sample.Time,Time,Sample,Colony,Community,Treatment,Repli,C.SH,D.SH,tot.SH,logTot.SH,logC.SH,logD.SH,D.Prp,ID
T3_S5-14,T3,S5-14,S5,D,Fe,R1,0.00E+000,4.17E-004,4.17E-004,-3.3803,NA,-3.3803,1.0000,T3_S5-14.P32_Ssid_T3_Fe_R1-2.csv
T3_S5-25,T3,S5-25,S5,D,Fe,R1,6.56E-006,6.39E-004,6.45E-004,-3.1904,-5.1831,-3.1948,0.9898,T3_S5-25.P32_Ssid_T3_Fe_R1-2.csv
T3_S6-1,T3,S6-1,S6,D,Fe,R1,1.53E-006,6.33E-004,6.35E-004,-3.1973,-5.8152,-3.1983,0.9976,T3_S6-1.P32_Ssid_T3_Fe_R1-2.csv
T3_S6-12,T3,S6-12,S6,D,Fe,R1,1.64E-005,1.95E-003,1.96E-003,-2.7071,-4.7861,-2.7107,0.9917,T3_S6-12.P32_Ssid_T3_Fe_R1-2.csv
T3_S1-12,T3,S1-12,S1,C,Fe,R2,1.97E-005,0.00E+000,1.97E-005,-4.7051,-4.7051,NA,0.0000,T3_S1-12.P32_Ssid_T3_Fe_R1-2.csv
T3_S1-16,T3,S1-16,S1,C,Fe,R2,1.76E-005,5.01E-007,1.81E-005,-4.7425,-4.7547,-6.3005,0.0277,T3_S1-16.P32_Ssid_T3_Fe_R1-2.csv
T3_S2-31,T3,S2-31,S2,D,Fe,R2,0.00E+000,3.18E-004,3.18E-004,-3.4972,NA,-3.4972,1.0000,T3_S2-31.P32_Ssid_T3_Fe_R1-2.csv
T3_S2-4,T3,S2-4,S2,D,Fe,R2,0.00E+000,2.16E-004,2.16E-004,-3.6659,NA,-3.6659,1.0000,T3_S2-4.P32_Ssid_T3_Fe_R1-2.csv
T3_S3-11,T3,S3-11,S3,DC,Fe,R2,2.93E-004,6.44E-005,3.58E-004,-3.4465,-3.5327,-4.1914,0.1800,T3_S3-11.P32_Ssid_T3_Fe_R1-2.csv
T3_S3-7,T3,S3-7,S3,C,Fe,R2,4.70E-004,1.69E-005,4.87E-004,-3.3122,-3.3275,-4.7724,0.0347,T3_S3-7.P32_Ssid_T3_Fe_R1-2.csv
T3_S4-26,T3,S4-26,S4,DC,Fe,R2,1.25E-004,9.04E-005,2.15E-004,-3.6668,-3.9030,-4.0440,0.4195,T3_S4-26.P32_Ssid_T3_Fe_R1-2.csv
T3_S4-28,T3,S4-28,S4,DC,Fe,R2,2.81E-005,1.01E-004,1.29E-004,-3.8902,-4.5510,-3.9972,0.7816,T3_S4-28.P32_Ssid_T3_Fe_R1-2.csv
T3_S5-13,T3,S5-13,S5,D,Fe,R2,0.00E+000,2.21E-004,2.21E-004,-3.6566,NA,-3.6566,1.0000,T3_S5-13.P32_Ssid_T3_Fe_R1-2.csv
T3_S5-23,T3,S5-23,S5,DC,Fe,R2,8.82E-005,4.16E-004,5.04E-004,-3.2973,-4.0544,-3.3808,0.8251,T3_S5-23.P32_Ssid_T3_Fe_R1-2.csv
T3_S6-15,T3,S6-15,S6,D,Fe,R2,1.29E-005,5.23E-004,5.36E-004,-3.2711,-4.8907,-3.2817,0.9760,T3_S6-15.P32_Ssid_T3_Fe_R1-2.csv
T3_S6-21,T3,S6-21,S6,D,Fe,R2,1.20E-006,3.35E-004,3.36E-004,-3.4738,-5.9195,-3.4754,0.9964,T3_S6-21.P45_Ssid_ReRuns.csv
T3_S1-17,T3,S1-17,S1,DC,N,R1,7.72E-005,1.14E-004,1.91E-004,-3.7195,-4.1124,-3.9447,0.5954,T3_S1-17.P33_Ssid_T3_N_R1-2.csv
T3_S1-25,T3,S1-25,S1,C,N,R1,1.90E-004,0.00E+000,1.90E-004,-3.7203,-3.7203,NA,0.0000,T3_S1-25.P33_Ssid_T3_N_R1-2.csv
T3_S2-21,T3,S2-21,S2,D,N,R1,0.00E+000,9.65E-004,9.65E-004,-3.0156,NA,-3.0156,1.0000,T3_S2-21.P33_Ssid_T3_N_R1-2.csv
T3_S2-24,T3,S2-24,S2,D,N,R1,0.00E+000,3.02E-003,3.02E-003,-2.5199,NA,-2.5199,1.0000,T3_S2-24.P33_Ssid_T3_N_R1-2.csv
T3_S3-10,T3,S3-10,S3,DC,N,R1,2.77E-003,9.47E-004,3.72E-003,-2.4298,-2.5575,-3.0237,0.2548,T3_S3-10.P33_Ssid_T3_N_R1-2.csv
T3_S3-8,T3,S3-8,S3,C,N,R1,1.55E-003,6.67E-005,1.62E-003,-2.7915,-2.8098,-4.1759,0.0413,T3_S3-8.P33_Ssid_T3_N_R1-2.csv
T3_S4-19,T3,S4-19,S4,DC,N,R1,5.53E-004,2.20E-004,7.72E-004,-3.1121,-3.2577,-3.6576,0.2848,T3_S4-19.P33_Ssid_T3_N_R1-2.csv
T3_S4-29,T3,S4-29,S4,DC,N,R1,3.86E-004,4.59E-004,8.45E-004,-3.0731,-3.4134,-3.3380,0.5433,T3_S4-29.P33_Ssid_T3_N_R1-2.csv
T3_S5-11,T3,S5-11,S5,D,N,R1,0.00E+000,6.34E-003,6.34E-003,-2.1976,NA,-2.1976,1.0000,T3_S5-11.P33_Ssid_T3_N_R1-2.csv
T3_S5-7,T3,S5-7,S5,D,N,R1,0.00E+000,2.27E-003,2.27E-003,-2.6449,NA,-2.6449,1.0000,T3_S5-7.P33_Ssid_T3_N_R1-2.csv
T3_S6-24,T3,S6-24,S6,D,N,R1,0.00E+000,6.87E-003,6.87E-003,-2.1632,NA,-2.1632,1.0000,T3_S6-24.P33_Ssid_T3_N_R1-2.csv
T3_S6-28,T3,S6-28,S6,D,N,R1,0.00E+000,1.22E-002,1.22E-002,-1.9145,NA,-1.9145,1.0000,T3_S6-28.P33_Ssid_T3_N_R1-2.csv
T3_S1-30,T3,S1-30,S1,C,N,R2,5.80E-005,1.33E-006,5.93E-005,-4.2267,-4.2366,-5.8749,0.0225,T3_S1-30.P33_Ssid_T3_N_R1-2.csv
T3_S1-8,T3,S1-8,S1,DC,N,R2,3.27E-005,4.35E-006,3.70E-005,-4.4318,-4.4861,-5.3616,0.1175,T3_S1-8.P45_Ssid_ReRuns.csv
T3_S2-18,T3,S2-18,S2,D,N,R2,0.00E+000,7.26E-004,7.26E-004,-3.1392,NA,-3.1392,1.0000,T3_S2-18.P33_Ssid_T3_N_R1-2.csv
T3_S2-7,T3,S2-7,S2,D,N,R2,0.00E+000,4.41E-004,4.41E-004,-3.3560,NA,-3.3560,1.0000,T3_S2-7.P33_Ssid_T3_N_R1-2.csv
T3_S3-25,T3,S3-25,S3,DC,N,R2,2.26E-005,1.43E-004,1.66E-004,-3.7804,-4.6454,-3.8441,0.8636,T3_S3-25.P33_Ssid_T3_N_R1-2.csv
T3_S3-30,T3,S3-30,S3,DC,N,R2,1.40E-004,1.74E-004,3.15E-004,-3.5021,-3.8529,-3.7584,0.5542,T3_S3-30.P33_Ssid_T3_N_R1-2.csv
T3_S4-22,T3,S4-22,S4,DC,N,R2,4.74E-004,6.48E-005,5.39E-004,-3.2685,-3.3241,-4.1887,0.1202,T3_S4-22.P33_Ssid_T3_N_R1-2.csv
T3_S4-7,T3,S4-7,S4,DC,N,R2,3.59E-004,9.82E-005,4.57E-004,-3.3399,-3.4449,-4.0078,0.2148,T3_S4-7.P33_Ssid_T3_N_R1-2.csv
T3_S5-17,T3,S5-17,S5,D,N,R2,0.00E+000,2.88E-003,2.88E-003,-2.5402,NA,-2.5402,1.0000,T3_S5-17.P33_Ssid_T3_N_R1-2.csv
T3_S5-18,T3,S5-18,S5,D,N,R2,0.00E+000,1.35E-003,1.35E-003,-2.8699,NA,-2.8699,1.0000,T3_S5-18.P33_Ssid_T3_N_R1-2.csv
T3_S6-27,T3,S6-27,S6,D,N,R2,0.00E+000,4.59E-003,4.59E-003,-2.3384,NA,-2.3384,1.0000,T3_S6-27.P33_Ssid_T3_N_R1-2.csv
T3_S6-29,T3,S6-29,S6,D,N,R2,6.37E-005,8.04E-003,8.10E-003,-2.0916,-4.1956,-2.0950,0.9921,T3_S6-29.P33_Ssid_T3_N_R1-2.csv
T3_S1-15,T3,S1-15,S1,C,NP,R1,1.07E-004,5.30E-006,1.12E-004,-3.9497,-3.9707,-5.2761,0.0472,T3_S1-15.P31_Ssid_T3_NP_R1-2.csv
T3_S1-24,T3,S1-24,S1,C,NP,R1,9.22E-005,0.00E+000,9.22E-005,-4.0353,-4.0353,NA,0.0000,T3_S1-24.P31_Ssid_T3_NP_R1-2.csv
T3_S2-3,T3,S2-3,S2,D,NP,R1,1.50E-006,3.90E-004,3.92E-004,-3.4070,-5.8228,-3.4086,0.9962,T3_S2-3.P31_Ssid_T3_NP_R1-2.csv
T3_S2-9,T3,S2-9,S2,D,NP,R1,0.00E+000,4.32E-004,4.32E-004,-3.3646,NA,-3.3646,1.0000,T3_S2-9.P45_Ssid_ReRuns.csv
T3_S3-21,T3,S3-21,S3,DC,NP,R1,2.01E-003,7.53E-004,2.76E-003,-2.5591,-2.6973,-3.1235,0.2726,T3_S3-21.P31_Ssid_T3_NP_R1-2.csv
T3_S3-26,T3,S3-26,S3,DC,NP,R1,1.84E-004,5.70E-004,7.54E-004,-3.1224,-3.7350,-3.2438,0.7560,T3_S3-26.P31_Ssid_T3_NP_R1-2.csv
T3_S4-1,T3,S4-1,S4,C,NP,R1,2.08E-004,1.64E-006,2.10E-004,-3.6780,-3.6814,-5.7861,0.0078,T3_S4-1.P31_Ssid_T3_NP_R1-2.csv
T3_S4-2,T3,S4-2,S4,C,NP,R1,5.73E-004,3.42E-005,6.07E-004,-3.2169,-3.2420,-4.4663,0.0563,T3_S4-2.P31_Ssid_T3_NP_R1-2.csv
T3_S5-1,T3,S5-1,S5,D,NP,R1,4.26E-005,7.17E-004,7.60E-004,-3.1193,-4.3710,-3.1444,0.9440,T3_S5-1.P31_Ssid_T3_NP_R1-2.csv
T3_S5-12,T3,S5-12,S5,D,NP,R1,4.29E-006,6.71E-004,6.75E-004,-3.1707,-5.3678,-3.1735,0.9936,T3_S5-12.P31_Ssid_T3_NP_R1-2.csv
T3_S6-18,T3,S6-18,S6,D,NP,R1,0.00E+000,3.92E-003,3.92E-003,-2.4062,NA,-2.4062,1.0000,T3_S6-18.P31_Ssid_T3_NP_R1-2.csv
T3_S6-3,T3,S6-3,S6,D,NP,R1,4.43E-006,6.13E-004,6.17E-004,-3.2096,-5.3540,-3.2127,0.9928,T3_S6-3.P45_Ssid_ReRuns.csv
T3_S1-11,T3,S1-11,S1,C,NP,R2,3.21E-005,1.73E-006,3.38E-005,-4.4706,-4.4934,-5.7628,0.0510,T3_S1-11.P31_Ssid_T3_NP_R1-2.csv
T3_S1-14,T3,S1-14,S1,C,NP,R2,6.81E-005,0.00E+000,6.81E-005,-4.1668,-4.1668,NA,0.0000,T3_S1-14.P31_Ssid_T3_NP_R1-2.csv
T3_S2-13,T3,S2-13,S2,D,NP,R2,0.00E+000,4.79E-004,4.79E-004,-3.3199,NA,-3.3199,1.0000,T3_S2-13.P31_Ssid_T3_NP_R1-2.csv
T3_S2-8,T3,S2-8,S2,D,NP,R2,0.00E+000,5.37E-004,5.37E-004,-3.2701,NA,-3.2701,1.0000,T3_S2-8.P31_Ssid_T3_NP_R1-2.csv
T3_S3-17,T3,S3-17,S3,DC,NP,R2,1.20E-003,2.51E-004,1.45E-003,-2.8384,-2.9209,-3.6002,0.1731,T3_S3-17.P31_Ssid_T3_NP_R1-2.csv
T3_S3-2,T3,S3-2,S3,DC,NP,R2,3.70E-004,1.51E-004,5.21E-004,-3.2832,-3.4320,-3.8207,0.2901,T3_S3-2.P31_Ssid_T3_NP_R1-2.csv
T3_S4-16,T3,S4-16,S4,C,NP,R2,8.85E-004,9.35E-005,9.78E-004,-3.0094,-3.0531,-4.0290,0.0956,T3_S4-16.P31_Ssid_T3_NP_R1-2.csv
T3_S4-4,T3,S4-4,S4,C,NP,R2,1.30E-003,3.81E-005,1.33E-003,-2.8747,-2.8873,-4.4190,0.0286,T3_S4-4.P31_Ssid_T3_NP_R1-2.csv
T3_S5-2,T3,S5-2,S5,D,NP,R2,1.05E-005,1.15E-003,1.16E-003,-2.9362,-4.9787,-2.9402,0.9909,T3_S5-2.P31_Ssid_T3_NP_R1-2.csv
T3_S5-8,T3,S5-8,S5,D,NP,R2,2.33E-005,2.50E-004,2.73E-004,-3.5631,-4.6325,-3.6018,0.9148,T3_S5-8.P31_Ssid_T3_NP_R1-2.csv
T3_S6-31,T3,S6-31,S6,D,NP,R2,0.00E+000,2.92E-004,2.92E-004,-3.5346,NA,-3.5346,1.0000,T3_S6-31.P31_Ssid_T3_NP_R1-2.csv
T3_S6-8,T3,S6-8,S6,D,NP,R2,1.05E-005,1.66E-003,1.67E-003,-2.7783,-4.9771,-2.7811,0.9937,T3_S6-8.P31_Ssid_T3_NP_R1-2.csv
T3_S1-18,T3,S1-18,S1,D,NPF,R1,3.57E-006,7.13E-005,7.48E-005,-4.1260,-5.4472,-4.1472,0.9523,T3_S1-18.P30_Ssid_T3_NPF_R1-2.csv
T3_S1-5,T3,S1-5,S1,DC,NPF,R1,3.60E-005,2.53E-005,6.13E-005,-4.2123,-4.4435,-4.5966,0.4128,T3_S1-5.P30_Ssid_T3_NPF_R1-2.csv
T3_S2-28,T3,S2-28,S2,D,NPF,R1,0.00E+000,5.10E-004,5.10E-004,-3.2923,NA,-3.2923,1.0000,T3_S2-28.P30_Ssid_T3_NPF_R1-2.csv
T3_S2-30,T3,S2-30,S2,D,NPF,R1,0.00E+000,4.78E-004,4.78E-004,-3.3202,NA,-3.3202,1.0000,T3_S2-30.P30_Ssid_T3_NPF_R1-2.csv
T3_S3-1,T3,S3-1,S3,DC,NPF,R1,3.93E-004,9.24E-005,4.85E-004,-3.3142,-3.4060,-4.0343,0.1905,T3_S3-1.P30_Ssid_T3_NPF_R1-2.csv
T3_S3-28,T3,S3-28,S3,DC,NPF,R1,2.73E-004,7.82E-005,3.51E-004,-3.4541,-3.5634,-4.1070,0.2224,T3_S3-28.P30_Ssid_T3_NPF_R1-2.csv
T3_S4-10,T3,S4-10,S4,DC,NPF,R1,2.09E-004,3.59E-005,2.45E-004,-3.6114,-3.6803,-4.4448,0.1467,T3_S4-10.P30_Ssid_T3_NPF_R1-2.csv
T3_S4-17,T3,S4-17,S4,DC,NPF,R1,2.71E-004,2.07E-004,4.77E-004,-3.3212,-3.5675,-3.6849,0.4328,T3_S4-17.P30_Ssid_T3_NPF_R1-2.csv
T3_S5-27,T3,S5-27,S5,DC,NPF,R1,7.16E-005,2.75E-004,3.47E-004,-3.4599,-4.1448,-3.5604,0.7934,T3_S5-27.P30_Ssid_T3_NPF_R1-2.csv
T3_S5-5,T3,S5-5,S5,D,NPF,R1,9.73E-007,2.99E-004,3.00E-004,-3.5226,-6.0117,-3.5240,0.9968,T3_S5-5.P45_Ssid_ReRuns.csv
T3_S6-13,T3,S6-13,S6,D,NPF,R1,3.49E-006,3.76E-003,3.77E-003,-2.4242,-5.4578,-2.4246,0.9991,T3_S6-13.P30_Ssid_T3_NPF_R1-2.csv
T3_S6-6,T3,S6-6,S6,D,NPF,R1,8.77E-006,1.00E-003,1.01E-003,-2.9954,-5.0569,-2.9992,0.9913,T3_S6-6.P30_Ssid_T3_NPF_R1-2.csv
T3_S1-2,T3,S1-2,S1,DC,NPF,R2,2.00E-005,4.63E-006,2.47E-005,-4.6079,-4.6981,-5.3349,0.1875,T3_S1-2.P30_Ssid_T3_NPF_R1-2.csv
T3_S1-28,T3,S1-28,S1,DC,NPF,R2,1.71E-005,4.20E-005,5.91E-005,-4.2285,-4.7663,-4.3772,0.7101,T3_S1-28.P30_Ssid_T3_NPF_R1-2.csv
T3_S2-14,T3,S2-14,S2,D,NPF,R2,2.64E-007,4.05E-004,4.05E-004,-3.3922,-6.5786,-3.3924,0.9993,T3_S2-14.P30_Ssid_T3_NPF_R1-2.csv
T3_S2-23,T3,S2-23,S2,DC,NPF,R2,2.28E-004,2.97E-005,2.58E-004,-3.5888,-3.6421,-4.5266,0.1154,T3_S2-23.P30_Ssid_T3_NPF_R1-2.csv
T3_S3-16,T3,S3-16,S3,DC,NPF,R2,3.65E-004,5.68E-005,4.22E-004,-3.3746,-3.4373,-4.2455,0.1346,T3_S3-16.P30_Ssid_T3_NPF_R1-2.csv
T3_S4-13,T3,S4-13,S4,DC,NPF,R2,2.00E-004,7.02E-005,2.71E-004,-3.5677,-3.6982,-4.1538,0.2594,T3_S4-13.P30_Ssid_T3_NPF_R1-2.csv
T3_S4-18,T3,S4-18,S4,DC,NPF,R2,2.47E-004,6.87E-005,3.16E-004,-3.5007,-3.6073,-4.1628,0.2177,T3_S4-18.P30_Ssid_T3_NPF_R1-2.csv
T3_S5-19,T3,S5-19,S5,D,NPF,R2,0.00E+000,2.11E-004,2.11E-004,-3.6757,NA,-3.6757,1.0000,T3_S5-19.P30_Ssid_T3_NPF_R1-2.csv
T3_S5-21,T3,S5-21,S5,D,NPF,R2,1.64E-005,2.27E-004,2.43E-004,-3.6141,-4.7841,-3.6445,0.9324,T3_S5-21.P30_Ssid_T3_NPF_R1-2.csv
T3_S6-10,T3,S6-10,S6,D,NPF,R2,7.20E-006,1.01E-003,1.02E-003,-2.9919,-5.1429,-2.9949,0.9929,T3_S6-10.P45_Ssid_ReRuns.csv
T3_S6-25,T3,S6-25,S6,D,NPF,R2,8.18E-006,6.19E-004,6.27E-004,-3.2029,-5.0870,-3.2087,0.9869,T3_S6-25.P30_Ssid_T3_NPF_R1-2.csv
